TUNETUL FC,,A ISPAS,6,,3,,Etapa a 4-a,echipa,puncte,,,BOBA JUNIORS,,S BOBEICA,7,,1,,Etapa a 4-a,echipa,puncte,
5,Mingueza,CEL,0,,,,Lo Celso,BET,0,,,5,Guerreiro,BM,0,,,,Claude-Maurice,AUG,0,
6,Schlotterbeck,DOR,0,,,,Moleiro,VIL,0,,,6,Marusic,LAZ,0,,,,MacAllistair,LIV,0,
7,R Gomes,WLV,0,,,,Isak,LIV,0,,,7,Rudiger,RM,0,,,,Lewandowski,BAR,0,
MIJLOCASI,,,,,,,Mateta,CP,0,,,MIJLOCASI,,,,,,,M Thuram,INT,0,
8,Pulisic,MIL,0,,,,Nkunku,MIL,0,,,8,Schade,BRN,0,,,,Sesko,MU,1,
9,Tillman,BL,0,,,PUNCTE,6,scor,0,1,,9,Cherki,MC,0,,,PUNCTE,6,scor,1,0
10,Lo Celso,BET,0,,,,formula,343,,,,10,Brandt,DOR,0,,,,formula,343,,
11,Stage,WB,0,,,,,,,,,11,Claude-Maurice,AUG,0,,,,,,,
12,B Guimaraes,NEW,1,,,,,,,,,12,Hack,MNG,0,,,,,,,
13,Rodri,MC,0,,,,,,,,,13,MacAllistair,LIV,0,,,,,,,
14,Moleiro,VIL,0,,,,,,,,,14,Kimmich,BM,0,,,,,,,
ATACANTI,,,,,,,,,,,,ATACANTI,,,,,,,,,,
15,Isak,LIV,0,,,,,,,,,15,Lewandowski,BAR,0,,,,,,,
16,Mateta,CP,0,,,,,,,,,16,M Thuram,INT,0,,,,,,,
17,Emegha,STR,0,,,,,,,,,17,Sesko,MU,1,,,,,,,
18,Marmoush,MC,0,,,,,,,,,18,Openda,JUV,0,,,,,,,
19,Nkunku,MIL,0,,,,,,,,,19,Moffi,NIC,0,,,,,,,
20,Oyarzabal,SOC,0,,,,,,,,,20,Solanke,TOT,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
RAPID FETESTI,,P GROZEA,12,,3,,Etapa a 4-a,echipa,puncte,,,FC HERMANSTAR,,A IONITA,3,,0,,Etapa a 4-a,echipa,puncte,
PORTARI,,,,,,,NEWCASTLE,NEW,,0,,PORTARI,,,,,,,AS MONACO,MON,,2
1,CHELSEA,CHE,1,,,,Ratiu,VLC,0,,,1,INTER M,INT,1,,,,Van de Ven,TOT,0,
2,NEWCASTLE,NEW,0,,,,Angelino,ROM,0,,,2,AS MONACO,MON,2,,,,Porro,TOT,0,
FUNDASI,,,,,,,Frimpong,LIV,0,,,FUNDASI,,,,,,,Cucurella,CHE,0,
3,Frimpong,LIV,0,,,,Guller,RM,0,,,3,Cucurella,CHE,0,,,,Paqueta,WH,0,
4,Ratiu,VLC,0,,,,Tolisso,LYO,0,,,4,Porro,TOT,0,,,,E Fernandez,CHE,0,
5,Milenkovic,NOT,0,,,,Kaminski,KOL,0,,,5,Gusto,CHE,0,,,,Vitinha,PSG,0,
6,Angelino,ROM,0,,,,Mitoma,BRI,0,,,6,Marquinhos,PSG,0,,,,Chaibi,FRA,0,
7,Zehnter,WOL,0,,,,L Diaz,BM,2,,,7,Van de Ven,TOT,0,,,,Guirassy,DOR,0,
MIJLOCASI,,,,,,,L Martinez,INT,1,,,MIJLOCASI,,,,,,,Yamal,BAR,0,
8,Guller,RM,0,,,,Bowen,WH,0,,,8,Paqueta,WH,0,,,,Richarlison,TOT,0,
9,Mitoma,BRI,0,,,PUNCTE,9,scor,3,0,,9,E Fernandez,CHE,0,,,PUNCTE,3,scor,0,2
10,Kudus,TOT,1,,,,formula,343,,,,10,Vitinha,PSG,0,,,,formula,343,,
