TUNETUL FC,,A ISPAS,22,,1,,Etapa a 13-a,echipa,puncte,,,BOBA JUNIORS,,S BOBEICA,22,,3,,Etapa a 13-a,echipa,puncte,,,,,,,,,
MIJLOCASI,,,,,#N/A,,H Kane,BM,1,,,MIJLOCASI,,,,,#N/A,,Hojlund,NAP,0,,,,,,,,,
8,Doan,FRA,0,,Sa,,Orsolini,BOL,1,,,8,Olise,BM,1,,Du,,Raphinia,BAR,1,,,,,,,,,
9,McTomminay,NAP,0,NAP-PAR,R,PUNCTE,30,scor,2,5,,9,Sancet,BIL,0,,Lu,PUNCTE,17,scor,3,3,,,,,,,,
10,Amiri,MAI,0,,Du, ,formula,343,,,,10,Haraldsson,LIL,0,DA,Du,,formula,343,,,,,,,,,,
11,Arrambari,GET,0,,Du,,,,,,,11,J Neves,PSG,0,NU,Sa,,,,,,,,,,,,,
12,Rabiot,MIL,2,COM-MIL,R,,,,,,,12,Pedri,BAR,0,,Du,,,,,,,,,,,,,
13,Karabec,LYO,0,NU,Du,,,,,,,13,Zhegrova,JUV,0,,Sa,,,,,,,,,,,,,
14,Baumgartner,LPZ,0,,Sa,,,,,,,14,Thielmann,KOL,0,,Sa,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,
15,H Kane,BM,1,,Du,,,,,,,15,Raphinia,BAR,1,,Du,,,,,,,,,,,,,
16,Schick,BL,1,,Sa,,,,,,,16,Soule,ROM,0,,Sa,,,,,,,,,,,,,
17,Orsolini,BOL,1,VER-BOL,R,,,,,,,17,Mikautadze,VIL,0,,Du,,,,,,,,,,,,,
18,B Johnson,TOT,0,,Sa,,,,,,,18,Hojlund,NAP,0,NAP-PAR,R,,,,,,,,,,,,,
19,Balogun,MON,1,NU,Du,,,,,,,19,Panichelli,STR,1,DA,Du,,,,,,,,,,,,,
20,Bulter,KOL,0,,Sa,,,,,,,20,Vardy,CRE,0,,Sa,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIGHTY MELONS,,N BADESCU,27,,0,,Etapa a 13-a,echipa,puncte,,,FC COJASCA ,,V PARCALABU,28,,0,,Etapa a 13-a,echipa,puncte,,,,,,,,,
PORTARI,,,,,,,BILBAO,BIL,,2,,PORTARI,,,,,,,MARSEILLE,OM,,2,,,,,,,,
1,BILBAO,BIL,2,,Lu,,Schlotterbeck,DOR,0,,,1,ATLETICO M,AM,0,,Du,,Grimaldo,BL,0,,,,,,,,,
2,FIORENTINA,FIO,1,,Du,,VV Dijk,LIV,0,,,2,MARSEILLE,OM,2,DA,Du,,De Cuyper,BRI,0,,,,,,,,,
FUNDASI,,,,,#N/A,,Mingueza,CEL,0,,,FUNDASI,,,,,#N/A,,Guerreiro,BM,0,,,,,,,,,
3,Dumfries,INT,0,INT-LEC,R,,Pulisic,MIL,0,,,3,Grimaldo,BL,0,,Sa,,Schade,BRN,0,,,,,,,,,
4,VV Dijk,LIV,0,,Sa,,Moleiro,VIL,0,,,4,De Cuyper,BRI,0,,Sa,,Brandt,DOR,1,,,,,,,,,
5,Mingueza,CEL,0,,Sa,,Tillman,BL,0,,,5,Guerreiro,BM,0,,Du,,Claude-Maurice,AUG,0,,,,,,,,,
6,Schlotterbeck,DOR,0,,Vi,,Stage,WB,0,,,6,Marusic,LAZ,0,,Sa,,Cherki,MC,0,,,,,,,,,
7,R Gomes,WLV,0,,Sa,,Isak,LIV,1,,,7,Rudiger,RM,0,,Sa,,Sesko,MU,0,,,,,,,,,
MIJLOCASI,,,,,#N/A,,Mateta,CP,0,,,MIJLOCASI,,,,,#N/A,,Lewandowski,BAR,0,,,,,,,,,
8,Pulisic,MIL,0,COM-MIL,R,,Oyarzabal,SOC,0,,,8,Schade,BRN,0,,Sa,,M Thuram,INT,0,,,,,,,,,
9,Tillman,BL,0,,Sa,PUNCTE,27,scor,1,2,,9,Cherki,MC,0,,Sa,PUNCTE,28,scor,1,2,,,,,,,,
10,Lo Celso,BET,0,,Du,,formula,343,,,,10,Brandt,DOR,1,,Vi,,formula,343,,,,,,,,,,
