ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Yamal,BAR,0,,Du,,,,,,,15,Lewandowski,BAR,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,G Orban,VER,0,,Du,,,,,,,16,Budimir,OSA,1,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Mateta,CP,R,,R,,,,,,,17,Orsolini,BOL,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Berardi,SAS,0,,Sa,,,,,,,18,F Torres,BAR,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Muriqi,MAL,0,,Sa,,,,,,,19,Semenyo,MC,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,A Ilic,UB,0,,Sa,,,,,,,20,I Thiago,BRN,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUBIN KAZAN,,R HOFBAUER,53,,3,,Etapa a 24-a,echipa,puncte,,,RAPID,,I FOCSANEANU,38,,1,,Etapa a 24-a,echipa,puncte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORTARI,,,,,,,AS ROMA,ROM,,0,,PORTARI,,,,,,,NEWCASTLE,NEW,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AS ROMA,ROM,0,,Du,,VV Dijk,LIV,0,,,1,REAL M,RM,2,,Du,,Orban,LPZ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,LAZIO,LAZ,0,,Du,,Calafiori,ARS,0,,,2,NEWCASTLE,NEW,2,,Du,,Marusic,LAZ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNDASI,,,,,#N/A,,Saliba,ARS,0,,,FUNDASI,,,,,#N/A,,Lala,BRE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,VV Dijk,LIV,0,,Sa,,Palmer,CHE,0,,,3,Orban,LPZ,0,,Vi,,Da Cunha,COM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Calafiori,ARS,0,DA,Mi,,Lee JS,MAI,0,,,4,De Cuyper,BRI,0,,Sa,,Tolisso,LYO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P Porro,TOT,0,,Du,,N Paz,COM,1,,,5,Marusic,LAZ,0,,Du,,Sancet,BIL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Ratiu,VLC,0,,Du,,J Neves,PSG,0,,,6,Lala,BRE,0,,Sa,,Suzuki,FRE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Saliba,ARS,0,DA,Mi,,J Pedro,CHE,0,,,7,M Rubio,ESP,0,,Sa,,Aubameyang,OM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIJLOCASI,,,,,#N/A,,Dembele,PSG,0,,,MIJLOCASI,,,,,#N/A,,K Yildiz,JUV,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
