9,McTomminay,NAP,1,,Vi,PUNCTE,55,scor,9,0,,9,Sancet,BIL,1,,Du,PUNCTE,36,scor,4,2,,,,,,,,
10,Amiri,MAI,0,,Du, ,formula,343,,,,10,Haraldsson,LIL,0,,Du,,formula,343,,,,,,,,,,
11,Arrambari,GET,1,,Sa,,,,,,,11,I Kone,SAS,0,,Sa,,,,,,,,,,,,,
12,Rabiot,MIL,1,,Sa,,,,,,,12,Pedri,BAR,0,,Du,,,,,,,,,,,,,
13,Karabec,LYO,0,,Du,,,,,,,13,Zhegrova,JUV,0,,Sa,,,,,,,,,,,,,
14,Baumgartner,LPZ,2,,Vi,,,,,,,14,Thielmann,KOL,0,,Sa,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,
15,H Kane,BM,1,,Sa,,,,,,,15,Raphinia,BAR,0,,Du,,,,,,,,,,,,,
16,Schick,BL,2,,Sa,,,,,,,16,Soule,ROM,0,,Du,,,,,,,,,,,,,
17,Orsolini,BOL,0,,Du,,,,,,,17,Mikautadze,VIL,1,,Vi,,,,,,,,,,,,,
18,Calvert-Levin,LEE,0,,Sa,,,,,,,18,Hojlund,NAP,0,,Vi,,,,,,,,,,,,,
19,Balogun,MON,1,,Du,,,,,,,19,Panichelli,STR,2,,Du,,,,,,,,,,,,,
20,Matanovic,FRE,2,,Du,,,,,,,20,Douvikas,COM,1,,Du,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIGHTY MELONS,,N BADESCU,46,,1,,Etapa a 24-a,echipa,puncte,,,FC COJASCA ,,V PARCALABU,45,,0,,Etapa a 24-a,echipa,puncte,,,,,,,,,
PORTARI,,,,,,,LENS,LEN,,1,,PORTARI,,,,,,,MARSEILLE,OM,,2,,,,,,,,
1,BILBAO,BIL,1,,Du,,Schlotterbeck,DOR,0,,,1,ATLETICO M,AM,3,,Du,,Grimaldo,BL,0,,,,,,,,,
2,LENS,LEN,1,,Vi,,VV Dijk,LIV,0,,,2,MARSEILLE,OM,2,,Du,,De Cuyper,BRI,0,,,,,,,,,
FUNDASI,,,,,#N/A,,C Romero,ESP,0,,,FUNDASI,,,,,#N/A,,Rudiger,RM,0,,,,,,,,,
3,Dumfries,INT,0,,Du,,Mingueza,CEL,0,,,3,Grimaldo,BL,0,,Sa,,Schade,BRN,0,,,,,,,,,
4,VV Dijk,LIV,0,,Sa,,Dumfries,INT,0,,,4,De Cuyper,BRI,0,,Sa,,Brandt,DOR,0,,,,,,,,,
5,Mingueza,CEL,0,,Du,,Pulisic,MIL,0,,,5,Guerreiro,BM,0,,Sa,,Claude-Maurice,AUG,0,,,,,,,,,
6,Schlotterbeck,DOR,0,,Sa,,Moleiro,VIL,0,,,6,Marusic,LAZ,0,,Du,,Cherki,MC,R,,,,,,,,,
7,C Romero,ESP,0,,Sa,,Tillman,BL,1,,,7,Rudiger,RM,0,,Du,,Endrick,LYO,0,,,,,,,,,
MIJLOCASI,,,,,#N/A,,Nkunku,MIL,0,,,MIJLOCASI,,,,,#N/A,,Lewandowski,BAR,0,,,,,,,,,
8,Pulisic,MIL,0,,Sa,,Oyarzabal,SOC,0,,,8,Schade,BRN,0,,Sa,,M Thuram,INT,0,,,,,,,,,
9,Tillman,BL,1,,Sa,PUNCTE,45,scor,1,1,,9,Cherki,MC,R,MC-CP,R,PUNCTE,45,scor,0,2,,,,,,,,
10,Lo Celso,BET,0,,Du,,formula,442,,,,10,Brandt,DOR,0,,Sa,,formula,343,,,,,,,,,,
11,Stage,WB,0,,Sa,,,,,,,11,Claude-Maurice,AUG,0,,Du,,,,,,,,,,,,,
12,B Guimaraes,NEW,0,,Du,,,,,,,12,Hack,MNG,0,,Sa,,,,,,,,,,,,,
13,Rodri,MC,R,,R,,,,,,,13,MacAllistair,LIV,0,,Sa,,,,,,,,,,,,,
14,Moleiro,VIL,0,,Vi,,,,,,,14,Kimmich,BM,0,,Sa,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,
15,Isak,LIV,0,,Sa,,,,,,,15,Lewandowski,BAR,0,,Du,,,,,,,,,,,,,
16,Mateta,CP,R,,R,,,,,,,16,M Thuram,INT,0,,Du,,,,,,,,,,,,,
17,Emegha,STR,0,,Du,,,,,,,17,Sesko,MU,0,,Vi,,,,,,,,,,,,,
18,Marmoush,MC,R,,R,,,,,,,18,Openda,JUV,0,,Sa,,,,,,,,,,,,,
19,Nkunku,MIL,0,,Sa,,,,,,,19,Endrick,LYO,0,,Du,,,,,,,,,,,,,
20,Oyarzabal,SOC,0,,Vi,,,,,,,20,Solanke,TOT,0,,Du,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAPID FETESTI,,P GROZEA,48,,1,,Etapa a 24-a,echipa,puncte,,,FC HERMANSTAR,,A IONITA,44,,1,,Etapa a 24-a,echipa,puncte,,,,,,,,,
PORTARI,,,,,,,NEWCASTLE,NEW,,2,,PORTARI,,,,,,,AS MONACO,MON,,1,,,,,,,,
1,CHELSEA,CHE,3,,Sa,,Ratiu,VLC,0,,,1,INTER M,INT,1,,Du,,Van de Ven,TOT,0,,,,,,,,,
2,NEWCASTLE,NEW,2,,Du,,Milenkovic,NOT,0,,,2,AS MONACO,MON,1,,Du,,Porro,TOT,0,,,,,,,,,
FUNDASI,,,,,#N/A,,Frimpong,LIV,0,,,FUNDASI,,,,,#N/A,,Cucurella,CHE,0,,,,,,,,,
3,Frimpong,LIV,0,,Sa,,Tolisso,LYO,0,,,3,Cucurella,CHE,0,,Sa,,Niehues,HEI,0,,,,,,,,,
4,Ratiu,VLC,0,,Du,,Ekkelenkamp,UDI,1,,,4,Porro,TOT,0,,Du,,E Fernandez,CHE,0,,,,,,,,,
5,Milenkovic,NOT,0,,Du,,Kaminski,KOL,0,,,5,Gusto,CHE,0,,Sa,,Vitinha,PSG,0,,,,,,,,,
6,Angelino,ROM,0,,Du,,Vlasic,TOR,1,,,6,Marquinhos,PSG,0,,Sa,,Casemiro,MU,0,,,,,,,,,
