BRITANICII,,D MOLAN,32,,0,,Etapa a 16-a,echipa,puncte,,,FC MUMU LU' TALPANU',,L MOLAN,32,,3,,Etapa a 16-a,echipa,puncte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restante,Restante
4,Calafiori,ARS,0,,Du,,Lee JS,MAI,0,,,4,De Cuyper,BRI,0,,Sa,,Tolisso,LYO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P Porro,TOT,0,,Sa,,Odegaard,ARS,0,,,5,Marusic,LAZ,0,,Sa,,Kevin,FUL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Ratiu,VLC,0,,Sa,,N Paz,COM,0,,,6,Lala,BRE,0,,Du,,Suzuki,FRE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Saliba,ARS,0,,Du,,J Pedro,CHE,1,,,7,M Rubio,ESP,0,,Sa,,Aubameyang,OM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIJLOCASI,,,,,#N/A,,Dembele,PSG,0,,,MIJLOCASI,,,,,#N/A,,A Perez,VIL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Palmer,CHE,0,,Du,,Gakpo,LIV,0,,,8,Sancet,BIL,0,,Sa,,J Alvarez,AM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,N Paz,COM,0,,Sa,PUNCTE,31,scor,3,0,,9,Tolisso,LYO,0,,Du,PUNCTE,26,scor,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Odegaard,ARS,0,,Du,,formula,343,,,,10,Hein,MET,0,,Du,,formula,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Vitinha,PSG,0,,Vi,,,,,,,11,Suzuki,FRE,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,J Neves,PSG,0,,Vi,,,,,,,12,Kevin,FUL,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Lee JS,MAI,0,,Sa,,,,,,,13,El Aynaoui,ROM,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Golovin,MON,0,,Sa,,,,,,,14,Baena,AM,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Dembele,PSG,0,,Vi,,,,,,,15,J Alvarez,AM,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,J Pedro,CHE,1,,Du,,,,,,,16,M Kean,FIO,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Richarlison,TOT,0,,Sa,,,,,,,17,Aubameyang,OM,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Bulter,KOL,0,,Du,,,,,,,18,A Perez,VIL,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Gakpo,LIV,0,,Sa,,,,,,,19,Kleindienst,MNG,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Ferguson,ROM,0,,Du,,,,,,,20,N Williams,BIL,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTM CHIAJNA,,R TUDOR,22,,0,,Etapa a 16-a,echipa,puncte,,,ATLETICO DRAGALINA,,G BERCEANU,42,,3,,Etapa a 16-a,echipa,puncte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORTARI,,,,,,,LENS,LEN,,3,,PORTARI,,,,,,,MAN CITY,MC,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JUVENTUS,JUV,0,,Du,,Bard,NIC,0,,,1,MAN CITY,MC,0,,Sa,,Grimaldo,BL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,LENS,LEN,3,,Sa,,Cambiaso,LH,0,,,2,CHELSEA,CHE,1,,Du,,Frimpong,LIV,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNDASI,,,,,#N/A,,Wesley,JUV,0,,,FUNDASI,,,,,#N/A,,Cucurella,CHE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,F Doucoure,LH,0,,Sa,,Haraldsson,LIL,0,,,3,Frimpong,LIV,0,,Sa,,Di Lorenzo,NAP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Wesley,ROM,0,,Du,,Thielmann,KOL,0,,,4,Grimaldo,BL,0,,Sa,,Zaccagni,LAZ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Methalie,TOU,0,,Du,,Doan,FRA,0,,,5,Cucurella,CHE,0,,Du,,Palazon,VLC,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Bard,NIC,0,,Du,,Vlasic,TOR,0,,,6,Di Lorenzo,NAP,0,,Du,,Almada,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
