TUNETUL FC,,A ISPAS,25,,,,Etapa a 15-a,echipa,puncte,,,BOBA JUNIORS,,S BOBEICA,24,,1,,Etapa a 15-a,echipa,puncte,,,,,,,,,
9,Tillman,BL,0,,Sa,PUNCTE,30,scor,2,3,,9,Cherki,MC,0,,Sa,PUNCTE,31,scor,2,2,,,,,,,,
10,Lo Celso,BET,0,,Sa,,formula,352,,,,10,Brandt,DOR,1,,Sa,,formula,343,,,,,,,,,,
11,Stage,WB,1,,Vi,,,,,,,11,Claude-Maurice,AUG,1,,Du,,,,,,,,,,,,,
12,B Guimaraes,NEW,0,,Du,,,,,,,12,Hack,MNG,0,,Sa,,,,,,,,,,,,,
13,Rodri,MC,0,,Sa,,,,,,,13,MacAllistair,LIV,0,,Sa,,,,,,,,,,,,,
14,Moleiro,VIL,0,,Sa,,,,,,,14,Kimmich,BM,0,,Sa,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,
15,Isak,LIV,0,,Sa,,,,,,,15,Lewandowski,BAR,0,,Du,,,,,,,,,,,,,
16,Mateta,CP,0,,Sa,,,,,,,16,M Thuram,INT,0,,Sa,,,,,,,,,,,,,
17,Emegha,STR,0,,Du,,,,,,,17,Sesko,MU,0,,Sa,,,,,,,,,,,,,
18,Marmoush,MC,0,,Sa,,,,,,,18,Openda,JUV,0,,Sa,,,,,,,,,,,,,
19,Nkunku,MIL,0,,Du,,,,,,,19,Moffi,NIC,0,,Sa,,,,,,,,,,,,,
20,Oyarzabal,SOC,1,,Du,,,,,,,20,Solanke,TOT,0,,Sa,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAPID FETESTI,,P GROZEA,33,,,,Etapa a 15-a,echipa,puncte,,,FC HERMANSTAR,,A IONITA,22,,0,,Etapa a 15-a,echipa,puncte,,,,,,,,,
PORTARI,,,,,,,NEWCASTLE,NEW,,0,,PORTARI,,,,,,,AS MONACO,MON,,3,,,,,,,,
1,CHELSEA,CHE,0,,Sa,,Ratiu,VLC,0,,,1,INTER M,INT,0,,Sa,,Van de Ven,TOT,0,,,,,,,,,
2,NEWCASTLE,NEW,0,,Du,,Milenkovic,NOT,0,,,2,AS MONACO,MON,3,,Vi,,Porro,TOT,0,,,,,,,,,
FUNDASI,,,,,#N/A,,Zehnter,WOL,0,,,FUNDASI,,,,,#N/A,,Cucurella,CHE,0,,,,,,,,,
3,Frimpong,LIV,0,,Sa,,Mitoma,BRI,0,,,3,Cucurella,CHE,0,,Sa,,Paqueta,WH,0,,,,,,,,,
4,Ratiu,VLC,0,,Du,,Tolisso,LYO,0,,,4,Porro,TOT,0,,Sa,,E Fernandez,CHE,0,,,,,,,,,
5,Milenkovic,NOT,0,,Sa,,Kaminski,KOL,0,,,5,Gusto,CHE,0,,Sa,,Vitinha,PSG,0,,,,,,,,,
6,Angelino,ROM,0,,Du,,Kudus,TOT,0,,,6,Marquinhos,PSG,0,,Vi,,Casemiro,MU,0,,,,,,,,,
7,Zehnter,WOL,0,,Sa,,L Diaz,BM,0,,,7,Van de Ven,TOT,0,,Sa,,Guirassy,DOR,0,,,,,,,,,
MIJLOCASI,,,,,#N/A,,L Martinez,INT,1,,,MIJLOCASI,,,,,#N/A,,Yamal,BAR,0,,,,,,,,,
8,Guller,RM,0,,Sa,,Ekitike,LIV,0,,,8,Paqueta,WH,0,,Sa,,I Thiago,BRN,0,,,,,,,,,
9,Mitoma,BRI,0,,Lu,PUNCTE,33,scor,1,0,,9,E Fernandez,CHE,0,,Sa,PUNCTE,22,scor,0,3,,,,,,,,
10,Kudus,TOT,0,,Sa,,formula,343,,,,10,Vitinha,PSG,0,,Vi,,formula,343,,,,,,,,,,
11,Tolisso,LYO,0,,Du,,,,,,,11,Modric,MIL,0,,Du,,,,,,,,,,,,,
12,B Diaz,RM,0,,Sa,,,,,,,12,F Ruiz,PSG,0,,Vi,,,,,,,,,,,,,
13,Kaminski,KOL,0,,Sa,,,,,,,13,Casemiro,MU,0,,Sa,,,,,,,,,,,,,
14,Vlasic,TOR,0,,Du,,,,,,,14,Chaibi,FRA,0,,Vi,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,
15,L Diaz,BM,0,,Sa,,,,,,,15,Guirassy,DOR,0,,Sa,,,,,,,,,,,,,
16,L Martinez,INT,1,,Sa,,,,,,,16,Yamal,BAR,0,,Du,,,,,,,,,,,,,
17,Ekitike,LIV,0,,Sa,,,,,,,17,Richarlison,TOT,0,,Sa,,,,,,,,,,,,,
18,Bowen,WH,0,,Sa,,,,,,,18,Boniface,WB,0,,Vi,,,,,,,,,,,,,
19,Gakpo,LIV,0,,Sa,,,,,,,19,Giroud,LIL,0,,Vi,,,,,,,,,,,,,
20,Ferguson,ROM,0,,Du,,,,,,,20,I Thiago,BRN,0,,Sa,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
